seed	dt_1_test	rf_1_test	dt_1_train	rf_1_train	dt_2_test	rf_2_test	dt_2_train	rf_2_train	dt_3_test	rf_3_test	dt_3_train	rf_3_train	dt_4_test	rf_4_test	dt_4_train	rf_4_train	dt_5_test	rf_5_test	dt_5_train	rf_5_train	dt_6_test	rf_6_test	dt_6_train	rf_6_train	dt_None_test	rf_None_test	dt_None_train	rf_None_train
42	0.3	0.375	0.25625	0.4025	0.335	0.475	0.36625	0.50125	0.46	0.54	0.47	0.60875	0.51	0.6	0.55	0.685	0.555	0.71	0.65375	0.79	0.595	0.765	0.73625	0.85375	0.74	0.765	0.9975	0.9975
43	0.28	0.3	0.31	0.30875	0.41	0.51	0.38625	0.515	0.495	0.655	0.44375	0.71375	0.565	0.725	0.53625	0.78125	0.625	0.765	0.65	0.845	0.69	0.775	0.7525	0.89875	0.785	0.785	1.0	0.9975
44	0.33	0.34	0.31375	0.3225	0.44	0.47	0.3975	0.47875	0.575	0.59	0.51125	0.5875	0.625	0.72	0.5875	0.735	0.54	0.755	0.5075	0.835	0.59	0.81	0.5925	0.88875	0.63	0.855	0.775	0.99875
45	0.255	0.395	0.35	0.44875	0.425	0.54	0.495	0.58875	0.575	0.625	0.6225	0.71625	0.625	0.67	0.69375	0.7775	0.625	0.71	0.7625	0.84125	0.685	0.725	0.8325	0.90125	0.7	0.77	0.98375	1.0
46	0.32	0.435	0.28875	0.3775	0.345	0.535	0.38625	0.48625	0.42	0.62	0.45125	0.5925	0.535	0.71	0.57625	0.70625	0.6	0.755	0.67375	0.81375	0.63	0.785	0.755	0.89375	0.655	0.79	0.93125	0.99875
47	0.3	0.2	0.3025	0.27375	0.395	0.435	0.36	0.49625	0.355	0.49	0.44375	0.5725	0.455	0.54	0.555	0.6825	0.54	0.6	0.64125	0.74375	0.555	0.65	0.715	0.82	0.67	0.68	0.99875	0.99375
48	0.215	0.295	0.26875	0.34625	0.32	0.39	0.35375	0.4225	0.365	0.475	0.41375	0.555	0.48	0.64	0.5625	0.72625	0.51	0.67	0.645	0.79875	0.635	0.71	0.73875	0.865	0.755	0.745	1.0	0.99875
49	0.335	0.38	0.35625	0.405	0.425	0.525	0.44125	0.53625	0.475	0.63	0.51625	0.69625	0.55	0.7	0.61125	0.78125	0.635	0.76	0.7025	0.865	0.685	0.805	0.77375	0.91875	0.815	0.795	0.94	0.995
50	0.29	0.32	0.35875	0.3875	0.39	0.41	0.40375	0.5075	0.51	0.51	0.5075	0.63125	0.52	0.565	0.615	0.76375	0.625	0.685	0.74625	0.84125	0.72	0.755	0.82875	0.90625	0.71	0.785	1.0	1.0
51	0.36	0.37	0.36	0.3675	0.41	0.465	0.4425	0.48375	0.555	0.565	0.56125	0.59625	0.605	0.64	0.64125	0.66	0.685	0.68	0.715	0.73375	0.715	0.72	0.75125	0.78875	0.78	0.8	0.9625	0.98875
52	0.3	0.27	0.32875	0.30125	0.37	0.475	0.4375	0.495	0.555	0.655	0.595	0.66875	0.685	0.765	0.6575	0.78125	0.725	0.775	0.76	0.82	0.775	0.805	0.81875	0.87125	0.79	0.805	0.9275	0.9975
53	0.405	0.425	0.44375	0.45	0.48	0.525	0.5025	0.54875	0.51	0.62	0.5525	0.64875	0.58	0.7	0.61	0.7625	0.62	0.715	0.68875	0.82625	0.675	0.755	0.7575	0.89125	0.74	0.81	0.89125	0.99375
54	0.25	0.415	0.25375	0.40625	0.36	0.49	0.355	0.56125	0.38	0.62	0.445	0.68	0.435	0.66	0.5325	0.7575	0.46	0.725	0.63625	0.84125	0.585	0.745	0.73375	0.895	0.655	0.755	0.9275	0.9975
55	0.265	0.32	0.32375	0.3925	0.35	0.5	0.4325	0.5425	0.415	0.615	0.5275	0.66375	0.56	0.715	0.64125	0.79875	0.66	0.8	0.74875	0.87875	0.64	0.805	0.73375	0.93375	0.74	0.815	0.92125	0.99875
56	0.25	0.37	0.26375	0.41625	0.38	0.515	0.37875	0.52375	0.41	0.565	0.44375	0.6	0.445	0.63	0.5325	0.7025	0.515	0.66	0.62625	0.7575	0.55	0.7	0.68	0.81625	0.71	0.715	1.0	0.96875
57	0.295	0.29	0.32125	0.33375	0.36	0.465	0.4025	0.5275	0.48	0.575	0.51125	0.6275	0.515	0.625	0.5625	0.73875	0.575	0.665	0.6625	0.7925	0.63	0.73	0.73875	0.84375	0.725	0.78	1.0	0.99875
58	0.41	0.415	0.33875	0.3525	0.44	0.505	0.395	0.48375	0.495	0.63	0.485	0.64375	0.565	0.765	0.6	0.7725	0.665	0.84	0.67625	0.8475	0.67	0.86	0.75875	0.91375	0.815	0.87	1.0	0.995
59	0.285	0.3	0.28	0.31	0.39	0.53	0.35625	0.55375	0.5	0.67	0.45875	0.68375	0.59	0.73	0.59875	0.77375	0.615	0.78	0.6875	0.8425	0.675	0.81	0.765	0.90625	0.73	0.825	0.99	0.99875
60	0.24	0.335	0.28875	0.39875	0.375	0.52	0.41625	0.57875	0.425	0.58	0.45125	0.645	0.48	0.6	0.55	0.695	0.535	0.625	0.63625	0.7775	0.6	0.655	0.69625	0.83	0.665	0.7	0.9025	0.9675
61	0.26	0.255	0.305	0.3075	0.435	0.45	0.41875	0.475	0.57	0.665	0.56375	0.63	0.7	0.74	0.68625	0.7375	0.68	0.745	0.74125	0.8075	0.705	0.79	0.79875	0.865	0.76	0.755	0.96625	0.98875
