curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
-2.0	17	0.2179109	0.009874343872070312	0.20730935	0.12566423416137695	0.5192125921745703	0.13527393341064453	0.5192125921745703	0.14072036743164062	0.5192125921745703	0.41654062271118164	0.5192125921745703	0.4241509437561035
-2.0	18	0.23488855	0.010035037994384766	0.22893807	0.11606311798095703	0.549231040540985	0.1314098834991455	0.549231040540985	0.13903188705444336	0.549231040540985	0.40937328338623047	0.549231040540985	0.4211139678955078
-2.0	19	0.19648555	0.010016679763793945	0.1861283	0.11589431762695312	0.5562517192059718	0.13580965995788574	0.5562517192059718	0.13802003860473633	0.5562517192059718	0.41568541526794434	0.5562517192059718	0.42323970794677734
-1.0	20	0.20910491	0.008617401123046875	0.20454289	0.10986185073852539	0.5435571331701625	0.13174653053283691	0.5435571331701625	0.13773703575134277	0.5435571331701625	0.42108702659606934	0.5435571331701625	0.42832088470458984
-1.0	21	0.19408257	0.01004338264465332	0.19035378	0.11453366279602051	0.5996463180027953	0.14137697219848633	0.5996463180027953	0.1395130157470703	0.5996463180027953	0.412121057510376	0.5996463180027953	0.42826128005981445
-1.0	22	0.17820793	0.010184526443481445	0.1736054	0.11337709426879883	0.5239541355708542	0.1409287452697754	0.5239541355708542	0.14699602127075195	0.5239541355708542	0.4201846122741699	0.5239541355708542	0.43007588386535645
-1.0	23	0.17914256	0.010039806365966797	0.1778741	0.11865711212158203	0.5573613800732952	0.14156866073608398	0.5573613800732952	0.14648890495300293	0.5573613800732952	0.41950368881225586	0.5573613800732952	0.42963647842407227
-1.0	24	0.22253537	0.010474443435668945	0.21733874	0.11302471160888672	0.48451976068632235	0.14237451553344727	0.48451976068632235	0.14746332168579102	0.48451976068632235	0.42170214653015137	0.48451976068632235	0.42653632164001465
-1.0	25	0.20202161	0.010424375534057617	0.20108785	0.11310935020446777	0.5448861844171369	0.13335824012756348	0.5448861844171369	0.14154767990112305	0.5448861844171369	0.41873621940612793	0.5448861844171369	0.42772769927978516
-1.0	26	0.16753885	0.00978851318359375	0.16606483	0.11150836944580078	0.5601833406816287	0.13105154037475586	0.5601833406816287	0.13806986808776855	0.5601833406816287	0.4222526550292969	0.5601833406816287	0.47426414489746094
-1.0	27	0.1960284	0.010265350341796875	0.18614548	0.1259465217590332	0.5913799546716499	0.14052057266235352	0.5913799546716499	0.14609575271606445	0.5913799546716499	0.41753482818603516	0.5913799546716499	0.4278223514556885
-1.0	28	0.21049656	0.009707450866699219	0.20566314	0.11472368240356445	0.4374674069614303	0.13545870780944824	0.4374674069614303	0.13625741004943848	0.4374674069614303	0.4164581298828125	0.4374674069614303	0.42614197731018066
-1.0	29	0.17408286	0.010070562362670898	0.17514597	0.1143958568572998	0.5784126382805338	0.15447378158569336	0.5784126382805338	0.16025495529174805	0.5784126382805338	0.4635779857635498	0.5784126382805338	0.4205179214477539
-0.5	30	0.17919518	0.010137796401977539	0.1726904	0.11653900146484375	0.6019713334520628	0.13402581214904785	0.6019713334520628	0.14014267921447754	0.6019713334520628	0.4140291213989258	0.6019713334520628	0.42522382736206055
-0.5	31	0.15771018	0.010251283645629883	0.15796599	0.11566281318664551	0.4664619246614199	0.13808012008666992	0.4664619246614199	0.14341044425964355	0.4664619246614199	0.4650120735168457	0.4664619246614199	0.47210168838500977
-0.5	32	0.16040151	0.012103080749511719	0.15724036	0.13735079765319824	0.4638942344300247	0.1325533390045166	0.4638942344300247	0.13453459739685059	0.4638942344300247	0.41298341751098633	0.4638942344300247	0.42385053634643555
-0.5	33	0.15883058	0.009943485260009766	0.15902433	0.11268448829650879	0.6268280743799425	0.13871026039123535	0.6268280743799425	0.1447436809539795	0.6268280743799425	0.4131786823272705	0.6268280743799425	0.4235038757324219
-0.5	34	0.19127952	0.009994983673095703	0.18453377	0.12408185005187988	0.4618283688990851	0.1359250545501709	0.4618283688990851	0.13880634307861328	0.4618283688990851	0.41500210762023926	0.4618283688990851	0.4255683422088623
-0.5	35	0.18157993	0.010567903518676758	0.17560147	0.12170243263244629	0.584085030982222	0.13422274589538574	0.584085030982222	0.13970327377319336	0.584085030982222	0.43112802505493164	0.584085030982222	0.4333479404449463
-0.5	36	0.21099329	0.010396957397460938	0.20938501	0.11878848075866699	0.5082284641731156	0.13228631019592285	0.5082284641731156	0.16005253791809082	0.5082284641731156	0.4677257537841797	0.5082284641731156	0.4709587097167969
-0.5	37	0.17421782	0.010506629943847656	0.16759142	0.12844300270080566	0.49403005474988454	0.13893723487854004	0.49403005474988454	0.14002013206481934	0.49403005474988454	0.41376471519470215	0.49403005474988454	0.42740750312805176
-0.5	38	0.22664636	0.009997367858886719	0.2262289	0.11434149742126465	0.48255719299140376	0.13489341735839844	0.48255719299140376	0.15122246742248535	0.48255719299140376	0.41562819480895996	0.48255719299140376	0.44725537300109863
-0.5	39	0.23629382	0.012984514236450195	0.23417269	0.13219738006591797	0.5612713311539372	0.1419370174407959	0.5612713311539372	0.1445446014404297	0.5612713311539372	0.41974735260009766	0.5612713311539372	0.427701473236084
-0.25	40	0.17709976	0.009883403778076172	0.17850076	0.11747407913208008	0.48012553998024843	0.13265037536621094	0.48012553998024843	0.1408679485321045	0.48012553998024843	0.41842007637023926	0.48012553998024843	0.4226508140563965
-0.25	41	0.19990847	0.010349035263061523	0.19551712	0.11636161804199219	0.5489730844509765	0.14110875129699707	0.5489730844509765	0.14667463302612305	0.5489730844509765	0.41765666007995605	0.5489730844509765	0.42723584175109863
