signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
SE	414	0.2366214053299955	0.0037970542907714844	0.18860949860324758	0.02604079246520996	0.2544428	0.9776256084442139	0.1772254	8.843506813049316	0.23963370417001317	0.002958059310913086	0.18275529403496857	0.026299476623535156	0.18404183	0.002942323684692383	0.47287388163153204	0.6876528263092041	0.47287388163153204	0.7061398029327393	0.47287388163153204	2.151622772216797	0.47287388163153204	2.1833655834198
SE	415	0.22815616995293864	0.0036520957946777344	0.18694517694123372	0.026222705841064453	0.2732805	1.009155035018921	0.18705355	8.834920644760132	0.25002683098950673	0.003106832504272461	0.19079658311702444	0.026135683059692383	0.1929616	0.003572225570678711	0.46402295123278015	0.6509113311767578	0.46402295123278015	0.71337890625	0.46402295123278015	2.144496202468872	0.46402295123278015	2.203885078430176
SE	416	0.2416332251487471	0.0035996437072753906	0.1592343059112363	0.026678800582885742	0.22271655	0.9548137187957764	0.16630247	8.940037250518799	0.24751788261743615	0.0031349658966064453	0.16634178635373587	0.026094436645507812	0.16919833	0.0030155181884765625	0.4586653411636541	0.6514027118682861	0.4586653411636541	0.6800310611724854	0.4586653411636541	2.1052141189575195	0.4586653411636541	2.1093947887420654
SE	417	0.2513071222280146	0.0037343502044677734	0.19484211336974083	0.016058683395385742	0.24053952	1.009505033493042	0.18788372	8.897746324539185	0.24645590523633246	0.002958059310913086	0.19366793190928427	0.026424646377563477	0.19326587	0.0029485225677490234	0.6020422066729381	0.6732761859893799	0.6020422066729381	0.6921744346618652	0.6020422066729381	2.100982427597046	0.6020422066729381	2.290470838546753
SE	418	0.28993207597530646	0.0035097599029541016	0.2335556353056175	0.02618694305419922	0.29496455	1.0092220306396484	0.22405055	8.859480381011963	0.2739662130561784	0.0030677318572998047	0.23282833159628083	0.026190519332885742	0.23760143	0.0029981136322021484	0.4980072681131521	0.6489524841308594	0.4980072681131521	0.6928951740264893	0.4980072681131521	2.095576047897339	0.4980072681131521	2.142972707748413
SE	419	0.21912181870430156	0.0037174224853515625	0.1674111666577529	0.026045799255371094	0.23513791	0.9748446941375732	0.16296953	8.630624294281006	0.20310855102288436	0.003177642822265625	0.1639803559113004	0.026506662368774414	0.17093506	0.003086566925048828	0.6202390407258545	0.7013733386993408	0.6202390407258545	0.7030572891235352	0.6202390407258545	2.0875885486602783	0.6202390407258545	2.1601855754852295
SE	420	0.3283586920286089	0.0038590431213378906	0.24789515100958248	0.02617621421813965	0.33454543	0.9924631118774414	0.24659994	8.923026084899902	0.3253564004495817	0.0030798912048339844	0.26146883117039055	0.026305198669433594	0.25275445	0.002805471420288086	0.5647557001936747	0.6550757884979248	0.5647557001936747	0.7167048454284668	0.5647557001936747	2.091362476348877	0.5647557001936747	2.1628880500793457
SE	421	0.25447753597200884	0.004034280776977539	0.1916612504682798	0.026216745376586914	0.25531936	0.9770362377166748	0.18815535	8.454561233520508	0.22886269163856293	0.003468036651611328	0.18322001367059892	0.026921987533569336	0.20088403	0.0029659271240234375	0.49183641939724837	0.66815185546875	0.49183641939724837	0.7033665180206299	0.49183641939724837	2.135195016860962	0.49183641939724837	2.174039125442505
SE	422	0.26877738763596526	0.003772735595703125	0.20791630510123565	0.02626204490661621	0.24738123	0.9779989719390869	0.2119848	8.49280333518982	0.2702515020784764	0.0029866695404052734	0.2111897012173372	0.026317596435546875	0.21578407	0.003133535385131836	0.5353023529691711	0.6647827625274658	0.5353023529691711	0.6760683059692383	0.5353023529691711	2.1059987545013428	0.5353023529691711	2.1565699577331543
SE	423	0.2863728074949791	0.0036842823028564453	0.21882645357199865	0.02641892433166504	0.28024918	0.9493720531463623	0.22418049	8.711585998535156	0.2853476368209167	0.00307464599609375	0.22795560405291865	0.026630878448486328	0.2120208	0.00299072265625	0.4987364823195245	0.660254955291748	0.4987364823195245	0.6840693950653076	0.4987364823195245	2.1283812522888184	0.4987364823195245	2.1634068489074707
SE	424	0.2468789354899814	0.0037467479705810547	0.1881540342306337	0.02632594108581543	0.23777828	1.0103497505187988	0.17582367	8.540761947631836	0.2478188206998192	0.0033986568450927734	0.1891992700889205	0.0274198055267334	0.17040275	0.0028409957885742188	0.5729199212531783	0.6675887107849121	0.5729199212531783	0.7056386470794678	0.5729199212531783	2.115114212036133	0.5729199212531783	2.1584651470184326
SE	425	0.2635098741586133	0.0033941268920898438	0.19947339540331863	0.0261688232421875	0.26413402	0.9782040119171143	0.19188179	8.561691284179688	0.2778415983945383	0.0028023719787597656	0.2013017278909138	0.026157617568969727	0.19721605	0.0031006336212158203	0.5739195802323971	0.6654858589172363	0.5739195802323971	0.7256660461425781	0.5739195802323971	2.076578378677368	0.5739195802323971	2.182047128677368
SE	426	0.3475318792658129	0.004027366638183594	0.25531544769473724	0.026286840438842773	0.35466877	0.974689245223999	0.24882163	8.733980417251587	0.312532990050679	0.003323078155517578	0.2527367023452486	0.026471376419067383	0.26759437	0.0028913021087646484	0.5938819552757673	0.652092695236206	0.5938819552757673	0.684880256652832	0.5938819552757673	2.097395896911621	0.5938819552757673	2.1673758029937744
SE	427	0.26107736837831885	0.004088640213012695	0.20399289938197562	0.026459693908691406	0.25905263	1.0022947788238525	0.19325994	8.776171445846558	0.27568530352123677	0.003246307373046875	0.2154623647786673	0.02670145034790039	0.19998139	0.0028333663940429688	0.5477809666978043	0.7067854404449463	0.5477809666978043	0.7560577392578125	0.5477809666978043	2.1524157524108887	0.5477809666978043	2.1758015155792236
SE	428	0.3090332963673413	0.0034477710723876953	0.2140934925946276	0.02645254135131836	0.2877526	0.9861268997192383	0.2303363	8.839212656021118	0.302642548723074	0.002820253372192383	0.2200364735244721	0.026154279708862305	0.21678835	0.0031876564025878906	0.5480880696086222	0.6658740043640137	0.5480880696086222	0.6940832138061523	0.5480880696086222	2.1441423892974854	0.5480880696086222	2.19570255279541
SE	429	0.275797639548194	0.005218029022216797	0.19901402927625522	0.02633380889892578	0.25912392	0.9494109153747559	0.19926225	8.591397047042847	0.2564388127418755	0.003820180892944336	0.20227905089002576	0.026495695114135742	0.20726922	0.0030014514923095703	0.5515544062309174	0.6638262271881104	0.5515544062309174	0.6929500102996826	0.5515544062309174	2.1485555171966553	0.5515544062309174	2.183206796646118
SE	430	0.27181739361381363	0.0033369064331054688	0.20689811819057763	0.02613067626953125	0.27875814	1.1285324096679688	0.20224914	8.70244836807251	0.2561827808146703	0.002786397933959961	0.20708500010036998	0.026330947875976562	0.20237222	0.002724170684814453	0.47918094427329755	0.6744265556335449	0.47918094427329755	0.7041757106781006	0.47918094427329755	2.0896308422088623	0.47918094427329755	2.116621494293213
SE	431	0.2753219952936404	0.0036623477935791016	0.21573212453855978	0.026035070419311523	0.29018348	1.0207469463348389	0.20589314	8.961356163024902	0.27477266864124217	0.0033750534057617188	0.2102713470185091	0.02651691436767578	0.21534926	0.0028634071350097656	0.5654693959095496	0.6545608043670654	0.5654693959095496	0.6964261531829834	0.5654693959095496	2.112398624420166	0.5654693959095496	2.1441473960876465
SE	432	0.21283292341285676	0.004410266876220703	0.15406665946835066	0.026424169540405273	0.2056234	0.9835696220397949	0.15303656	8.830671787261963	0.2161308974661127	0.003711700439453125	0.16026921912996941	0.026131391525268555	0.15955183	0.003098726272583008	0.5424077302890666	0.668931245803833	0.5424077302890666	0.6940221786499023	0.5424077302890666	2.100594997406006	0.5424077302890666	2.144434690475464
SE	433	0.3027333960619703	0.003657102584838867	0.23226861163663312	0.026205778121948242	0.31907922	0.9541411399841309	0.23534693	8.696232557296753	0.2875163452084453	0.003093242645263672	0.23562637734067116	0.02644824981689453	0.22446482	0.002899169921875	0.5679721056293505	0.6409947872161865	0.5679721056293505	0.7033641338348389	0.5679721056293505	2.093911647796631	0.5679721056293505	2.1396682262420654
SE	434	0.24514782087821882	0.003683328628540039	0.1858659486679199	0.02668023109436035	0.22791299	0.9786169528961182	0.18408684	8.540330171585083	0.25255485218676454	0.0031523704528808594	0.18706937123421064	0.026113033294677734	0.17953844	0.0032300949096679688	0.5897850247715659	0.6563241481781006	0.5897850247715659	0.6858677864074707	0.5897850247715659	2.0998151302337646	0.5897850247715659	2.1769402027130127
SE	435	0.2889226783271806	0.0033113956451416016	0.21291753611538491	0.026409149169921875	0.2848964	1.0132925510406494	0.20855498	8.8871910572052	0.2903359104704356	0.0028412342071533203	0.20964890235817735	0.026683807373046875	0.20706683	0.002875089645385742	0.5722153415476086	0.6727235317230225	0.5722153415476086	0.6996133327484131	0.5722153415476086	2.100109338760376	0.5722153415476086	2.145688056945801
SE	436	0.28759520781414344	0.004285335540771484	0.2128652234189229	0.026192188262939453	0.27737728	0.9671061038970947	0.21740837	8.644019603729248	0.29537711758758	0.003193378448486328	0.2204751111427878	0.025954008102416992	0.2168913	0.002876758575439453	0.5455232009458848	0.6492438316345215	0.5455232009458848	0.6780915260314941	0.5455232009458848	2.0569350719451904	0.5455232009458848	2.17120099067688
SE	437	0.2760165086186073	0.004550457000732422	0.22787046366269284	0.026500225067138672	0.3023959	0.9952507019042969	0.22711131	8.842751502990723	0.2939555328942028	0.0040264129638671875	0.22461303731121485	0.02625131607055664	0.22501105	0.0028400421142578125	0.6421038733806408	0.6585054397583008	0.6421038733806408	0.6869475841522217	0.6421038733806408	2.1054165363311768	0.6421038733806408	2.1584439277648926
SE	438	0.2654672018037102	0.0035979747772216797	0.19746464983631218	0.026347637176513672	0.24162763	0.9882712364196777	0.20316906	8.737875938415527	0.2631009110296993	0.0029981136322021484	0.19528952021144236	0.026231050491333008	0.19649169	0.002973318099975586	0.4796207414319569	0.6563858985900879	0.4796207414319569	0.6768941879272461	0.4796207414319569	2.1232118606567383	0.4796207414319569	2.1355931758880615
