embedding	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_adj_f1-micro	tangent_gnn_adj_accuracy	tangent_gnn_adj_time	ambient_gnn_adj_f1-micro	ambient_gnn_adj_accuracy	ambient_gnn_adj_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	product_dt_rmse	product_rf_rmse	tangent_mlp_rmse	ambient_mlp_rmse	tangent_gnn_adj_rmse	ambient_gnn_adj_rmse	tangent_gnn_rmse	ambient_gnn_rmse
cora	1	0.1750503018108652	0.1750503018108652	1.56093430519104	0.193158953722334	0.193158953722334	13.505589008331299	0.2655935613682093	0.2655935613682093	0.13074111938476562	0.2655935613682093	0.2655935613682093	0.13737940788269043	0.2655935613682093	0.2655935613682093	0.40357089042663574	0.2655935613682093	0.2655935613682093	0.41275882720947266	0.2655935613682093	0.2655935613682093	2.9875173568725586	0.2655935613682093	0.2655935613682093	2.9903523921966553								
cora	2	0.18108651911468812	0.18108651911468812	1.5433228015899658	0.20925553319919518	0.20925553319919518	13.336967468261719	0.3058350100603622	0.3058350100603622	0.12420892715454102	0.3158953722334004	0.3158953722334004	0.12828898429870605	0.3038229376257545	0.3038229376257545	0.3950512409210205	0.31388329979879276	0.31388329979879276	0.4060802459716797	0.3158953722334004	0.3158953722334004	2.9912545680999756	0.3158953722334004	0.3158953722334004	2.992978096008301								
cora	3	0.2112676056338028	0.2112676056338028	1.530604362487793	0.23742454728370221	0.23742454728370221	13.268109321594238	0.29577464788732394	0.29577464788732394	0.1239469051361084	0.2917505030181087	0.2917505030181087	0.1324009895324707	0.29577464788732394	0.29577464788732394	0.4111936092376709	0.29577464788732394	0.29577464788732394	0.40879106521606445	0.29577464788732394	0.29577464788732394	2.987030267715454	0.29577464788732394	0.29577464788732394	2.998210906982422								
cora	4	0.16498993963782696	0.16498993963782696	1.496556043624878	0.18712273641851107	0.18712273641851107	13.79718565940857	0.2837022132796781	0.2837022132796781	0.12520885467529297	0.2837022132796781	0.2837022132796781	0.128631591796875	0.2796780684104628	0.2796780684104628	0.40047740936279297	0.28772635814889336	0.28772635814889336	0.40920424461364746	0.2837022132796781	0.2837022132796781	2.9862873554229736	0.2837022132796781	0.2837022132796781	3.00260329246521								
cora	5	0.20321931589537223	0.20321931589537223	1.485215425491333	0.20925553319919518	0.20925553319919518	12.984363794326782	0.30985915492957744	0.30985915492957744	0.1244957447052002	0.3038229376257545	0.3038229376257545	0.12981057167053223	0.3038229376257545	0.3038229376257545	0.39000630378723145	0.3038229376257545	0.3038229376257545	0.42023587226867676	0.3038229376257545	0.3038229376257545	3.0002024173736572	0.158953722334004	0.158953722334004	3.004242181777954								
cora	6	0.17303822937625754	0.17303822937625754	1.491020917892456	0.2012072434607646	0.2012072434607646	12.976240158081055	0.2635814889336016	0.2635814889336016	0.12282919883728027	0.2716297786720322	0.2716297786720322	0.13278985023498535	0.2716297786720322	0.2716297786720322	0.39638376235961914	0.26961770623742454	0.26961770623742454	0.4080376625061035	0.2716297786720322	0.2716297786720322	2.994567394256592	0.2716297786720322	0.2716297786720322	3.000595808029175								
cora	7	0.19718309859154928	0.19718309859154928	1.524169683456421	0.24346076458752516	0.24346076458752516	13.316930294036865	0.2716297786720322	0.2716297786720322	0.1239171028137207	0.28169014084507044	0.28169014084507044	0.13203692436218262	0.27565392354124746	0.27565392354124746	0.39994168281555176	0.28169014084507044	0.28169014084507044	0.40946531295776367	0.2796780684104628	0.2796780684104628	2.9970169067382812	0.2796780684104628	0.2796780684104628	3.0016043186187744								
cora	8	0.1891348088531187	0.1891348088531187	1.534195899963379	0.23340040241448692	0.23340040241448692	13.16148328781128	0.30181086519114686	0.30181086519114686	0.12478113174438477	0.30181086519114686	0.30181086519114686	0.12870526313781738	0.30181086519114686	0.30181086519114686	0.40012669563293457	0.30181086519114686	0.30181086519114686	0.406602144241333	0.30181086519114686	0.30181086519114686	2.9894044399261475	0.30181086519114686	0.30181086519114686	2.9980573654174805								
cora	9	0.16901408450704225	0.16901408450704225	1.4870543479919434	0.20321931589537223	0.20321931589537223	13.24191951751709	0.2917505030181087	0.2917505030181087	0.12602806091308594	0.29577464788732394	0.29577464788732394	0.13023948669433594	0.29577464788732394	0.29577464788732394	0.39467644691467285	0.2937625754527163	0.2937625754527163	0.41010403633117676	0.29577464788732394	0.29577464788732394	2.996685028076172	0.29577464788732394	0.29577464788732394	2.990715980529785								
polblogs	0	0.9102040816326531	0.9102040816326531	0.10539102554321289	0.9183673469387755	0.9183673469387755	1.0365521907806396	0.8938775510204081	0.8938775510204081	0.14634394645690918	0.9428571428571428	0.9428571428571428	0.15983033180236816	0.9346938775510204	0.9346938775510204	0.4499471187591553	0.9551020408163265	0.9551020408163265	0.4607527256011963	0.5346938775510204	0.5346938775510204	0.49495697021484375	0.46530612244897956	0.46530612244897956	0.49138402938842773								
