curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
-1.0	22	0.285	0.285	0.009968757629394531	0.28	0.28	0.1133272647857666	0.17	0.17	0.12578845024108887	0.195	0.195	0.12948346138000488	0.245	0.245	0.4033222198486328	0.22	0.22	0.4155848026275635
-1.0	23	0.38	0.38	0.009823799133300781	0.355	0.355	0.11268496513366699	0.245	0.245	0.12470269203186035	0.24	0.24	0.13073968887329102	0.21	0.21	0.4090735912322998	0.1	0.1	0.41684961318969727
-1.0	24	0.27	0.27	0.010077953338623047	0.32	0.32	0.11011767387390137	0.23	0.23	0.12485265731811523	0.135	0.135	0.13234591484069824	0.265	0.265	0.4096543788909912	0.21	0.21	0.43476223945617676
-1.0	25	0.36	0.36	0.009856224060058594	0.33	0.33	0.11256623268127441	0.245	0.245	0.13196539878845215	0.22	0.22	0.1385953426361084	0.305	0.305	0.4095151424407959	0.25	0.25	0.41968822479248047
-1.0	26	0.33	0.33	0.010202884674072266	0.37	0.37	0.11481571197509766	0.17	0.17	0.12953805923461914	0.255	0.255	0.13436508178710938	0.185	0.185	0.4088265895843506	0.145	0.145	0.4193084239959717
-1.0	27	0.32	0.32	0.010406732559204102	0.34	0.34	0.1116187572479248	0.355	0.355	0.12955117225646973	0.255	0.255	0.13042807579040527	0.35	0.35	0.40920376777648926	0.31	0.31	0.4227886199951172
-1.0	28	0.245	0.245	0.009995460510253906	0.305	0.305	0.11261606216430664	0.29	0.29	0.12420368194580078	0.22	0.22	0.12950992584228516	0.22	0.22	0.40634751319885254	0.21	0.21	0.4241602420806885
-1.0	29	0.28	0.28	0.010185956954956055	0.305	0.305	0.1133108139038086	0.17	0.17	0.12626409530639648	0.215	0.215	0.13308405876159668	0.23	0.23	0.4066944122314453	0.14	0.14	0.4249148368835449
-0.5	30	0.295	0.295	0.009852170944213867	0.32	0.32	0.11037492752075195	0.225	0.225	0.12497162818908691	0.325	0.325	0.13227581977844238	0.29	0.29	0.40555834770202637	0.095	0.095	0.41964173316955566
-0.5	31	0.3	0.3	0.010289192199707031	0.31	0.31	0.1100306510925293	0.285	0.285	0.1358036994934082	0.3	0.3	0.1401958465576172	0.265	0.265	0.41432738304138184	0.285	0.285	0.4237041473388672
-0.5	32	0.31	0.31	0.012065649032592773	0.31	0.31	0.13257551193237305	0.22	0.22	0.13257169723510742	0.255	0.255	0.13198351860046387	0.23	0.23	0.4365055561065674	0.255	0.255	0.4306621551513672
-0.5	33	0.29	0.29	0.010775089263916016	0.28	0.28	0.1188499927520752	0.265	0.265	0.1270122528076172	0.295	0.295	0.15459346771240234	0.25	0.25	0.4995088577270508	0.275	0.275	0.48441243171691895
-0.5	34	0.345	0.345	0.013977289199829102	0.315	0.315	0.13170623779296875	0.28	0.28	0.13369202613830566	0.255	0.255	0.13434386253356934	0.27	0.27	0.41727519035339355	0.24	0.24	0.4205436706542969
-0.5	35	0.38	0.38	0.010061025619506836	0.41	0.41	0.11521220207214355	0.375	0.375	0.1281726360321045	0.265	0.265	0.1327056884765625	0.295	0.295	0.4151780605316162	0.27	0.27	0.4561471939086914
-0.5	36	0.33	0.33	0.01316070556640625	0.32	0.32	0.12760639190673828	0.29	0.29	0.13102149963378906	0.315	0.315	0.1279888153076172	0.295	0.295	0.40614962577819824	0.245	0.245	0.42269110679626465
-0.5	37	0.21	0.21	0.010207414627075195	0.25	0.25	0.11426496505737305	0.19	0.19	0.13064265251159668	0.215	0.215	0.13275790214538574	0.21	0.21	0.40840792655944824	0.145	0.145	0.4292440414428711
-0.5	38	0.32	0.32	0.010449886322021484	0.34	0.34	0.11449384689331055	0.27	0.27	0.13733243942260742	0.345	0.345	0.15377259254455566	0.33	0.33	0.45377206802368164	0.2	0.2	0.4483156204223633
-0.5	39	0.39	0.39	0.010313987731933594	0.42	0.42	0.10998415946960449	0.3	0.3	0.12557697296142578	0.35	0.35	0.13277149200439453	0.335	0.335	0.4142584800720215	0.28	0.28	0.41818833351135254
-0.25	40	0.255	0.255	0.009961128234863281	0.305	0.305	0.11230134963989258	0.235	0.235	0.12326908111572266	0.225	0.225	0.12897014617919922	0.215	0.215	0.41300272941589355	0.225	0.225	0.4707653522491455
-0.25	41	0.285	0.285	0.010276079177856445	0.295	0.295	0.1234889030456543	0.265	0.265	0.1262059211730957	0.225	0.225	0.1327345371246338	0.275	0.275	0.4107191562652588	0.265	0.265	0.4170966148376465
-0.25	42	0.205	0.205	0.009808063507080078	0.25	0.25	0.11137199401855469	0.225	0.225	0.12300419807434082	0.23	0.23	0.13011622428894043	0.225	0.225	0.4084596633911133	0.165	0.165	0.4148433208465576
-0.25	43	0.35	0.35	0.00998830795288086	0.37	0.37	0.11459207534790039	0.255	0.255	0.12324094772338867	0.27	0.27	0.12879228591918945	0.255	0.255	0.4039919376373291	0.235	0.235	0.4182276725769043
-0.25	44	0.225	0.225	0.01019906997680664	0.255	0.255	0.10837292671203613	0.255	0.255	0.12316155433654785	0.215	0.215	0.1327497959136963	0.235	0.235	0.40873289108276367	0.2	0.2	0.41580748558044434
-0.25	45	0.29	0.29	0.009645938873291016	0.28	0.28	0.11389040946960449	0.16	0.16	0.12386417388916016	0.215	0.215	0.12951874732971191	0.28	0.28	0.40906214714050293	0.14	0.14	0.41813158988952637
-0.25	46	0.365	0.365	0.009924173355102539	0.355	0.355	0.1117703914642334	0.375	0.375	0.12529325485229492	0.345	0.345	0.1299285888671875	0.37	0.37	0.4067256450653076	0.255	0.255	0.4161417484283447
-0.25	47	0.37	0.37	0.010193347930908203	0.38	0.38	0.11354207992553711	0.35	0.35	0.12959003448486328	0.285	0.285	0.13033771514892578	0.28	0.28	0.4041404724121094	0.2	0.2	0.4150099754333496
-0.25	48	0.33	0.33	0.010035514831542969	0.425	0.425	0.11000776290893555	0.265	0.265	0.12549781799316406	0.26	0.26	0.1300675868988037	0.28	0.28	0.41925954818725586	0.265	0.265	0.42905449867248535
-0.25	49	0.28	0.28	0.00996708869934082	0.265	0.265	0.11121082305908203	0.23	0.23	0.13020086288452148	0.23	0.23	0.133864164352417	0.22	0.22	0.4132039546966553	0.195	0.195	0.4201812744140625
0.0	50	0.27	0.27	0.010489463806152344	0.295	0.295	0.10591793060302734	0.155	0.155	0.12789034843444824	0.23	0.23	0.1378164291381836	0.27	0.27	0.4723806381225586	0.27	0.27	0.5536384582519531
0.0	51	0.25	0.25	0.011054754257202148	0.29	0.29	0.13248705863952637	0.21	0.21	0.13018536567687988	0.265	0.265	0.1351032257080078	0.195	0.195	0.46112704277038574	0.195	0.195	0.485645055770874
0.0	52	0.155	0.155	0.010216474533081055	0.255	0.255	0.11161947250366211	0.26	0.26	0.12337851524353027	0.18	0.18	0.13257956504821777	0.2	0.2	0.4646599292755127	0.2	0.2	0.48141002655029297
0.0	53	0.31	0.31	0.010175704956054688	0.28	0.28	0.10838556289672852	0.265	0.265	0.1459217071533203	0.28	0.28	0.1433258056640625	0.265	0.265	0.5201654434204102	0.265	0.265	0.4931058883666992
