sklearn_dt	sklearn_rf	product_dt	product_rf	tangent_dt	tangent_rf	knn	ps_perceptron	embedding	signature	trial
0.03902439024390244	0.04390243902439024	0.03902439024390244	0.05853658536585366	0.03902439024390244	0.05853658536585366	0.06829268292682927	0.03414634146341464	cs_phds	E	6
0.06341463414634146	0.06341463414634146	0.06341463414634146	0.06341463414634146	0.06341463414634146	0.06341463414634146	0.05365853658536585	0.04390243902439024	cs_phds	E	7
0.05853658536585366	0.03902439024390244	0.05853658536585366	0.04878048780487805	0.05853658536585366	0.05365853658536585	0.08780487804878048	0.02926829268292683	cs_phds	E	8
0.03414634146341464	0.02926829268292683	0.03414634146341464	0.04878048780487805	0.03414634146341464	0.03902439024390244	0.07317073170731707	0.024390243902439025	cs_phds	E	9
0.04878048780487805	0.06829268292682927	0.02926829268292683	0.05853658536585366	0.02926829268292683	0.06341463414634146	0.07317073170731707	0.07317073170731707	cs_phds	S	0
0.01951219512195122	0.04878048780487805	0.03414634146341464	0.024390243902439025	0.03414634146341464	0.03902439024390244	0.08780487804878048	0.024390243902439025	cs_phds	S	1
0.03414634146341464	0.07317073170731707	0.05853658536585366	0.05365853658536585	0.03414634146341464	0.04390243902439024	0.06829268292682927	0.03902439024390244	cs_phds	S	2
0.08292682926829269	0.05365853658536585	0.07317073170731707	0.07804878048780488	0.04390243902439024	0.06341463414634146	0.07317073170731707	0.06341463414634146	cs_phds	S	3
0.03414634146341464	0.03902439024390244	0.03414634146341464	0.05853658536585366	0.03414634146341464	0.01951219512195122	0.03902439024390244	0.02926829268292683	cs_phds	S	4
0.03902439024390244	0.03902439024390244	0.024390243902439025	0.024390243902439025	0.02926829268292683	0.04878048780487805	0.03902439024390244	0.024390243902439025	cs_phds	S	5
0.02926829268292683	0.01951219512195122	0.08292682926829269	0.04878048780487805	0.00975609756097561	0.05365853658536585	0.03902439024390244	0.04390243902439024	cs_phds	S	6
0.03414634146341464	0.05365853658536585	0.04878048780487805	0.04878048780487805	0.04878048780487805	0.07317073170731707	0.04878048780487805	0.04390243902439024	cs_phds	S	7
0.03414634146341464	0.05853658536585366	0.05853658536585366	0.04390243902439024	0.024390243902439025	0.03902439024390244	0.05365853658536585	0.06829268292682927	cs_phds	S	8
0.05365853658536585	0.06829268292682927	0.04878048780487805	0.03902439024390244	0.05853658536585366	0.04390243902439024	0.06341463414634146	0.04878048780487805	cs_phds	S	9
0.2857142857142857	0.289738430583501	0.2857142857142857	0.2917505030181087	0.28772635814889336	0.29979879275653926	0.18309859154929578	0.0482897384305835	cora	HH	0
0.28169014084507044	0.3158953722334004	0.31388329979879276	0.31388329979879276	0.3118712273641851	0.3158953722334004	0.24748490945674045	0.05432595573440644	cora	HH	1
0.30985915492957744	0.3158953722334004	0.29979879275653926	0.30784708249496984	0.3058350100603622	0.30985915492957744	0.2193158953722334	0.03822937625754527	cora	HH	2
0.2937625754527163	0.3038229376257545	0.30784708249496984	0.3058350100603622	0.30985915492957744	0.30181086519114686	0.23138832997987926	0.06438631790744467	cora	HH	3
0.3038229376257545	0.28772635814889336	0.29577464788732394	0.29577464788732394	0.2917505030181087	0.3058350100603622	0.22334004024144868	0.06438631790744467	cora	HH	4
0.2796780684104628	0.2917505030181087	0.2796780684104628	0.289738430583501	0.2776659959758551	0.2917505030181087	0.20724346076458752	0.05030181086519115	cora	HH	5
